FID,IID,Gender,Body_weight,Total_length,Body_length,Head_length,Body_height,Body_width
WR-II,68,Female,285,245.1,204.3,47.8,84.3,50.7
WR-II,69,Female,181.2,215.3,174.3,45.6,73.8,40.8
WR-II,70,Male,379,290.8,234.6,56.1,98.1,52.4
WR-II,71,Male,170.9,203.1,170.2,44.5,45.8,40.3
WR-II,72,Female,86.5,210.1,176.8,45.3,45.7,38.2
WR-II,73,Female,224.5,236.1,192.3,48.1,78.2,45.1
WR-II,74,Female,399.4,267.1,215.4,57.1,95.8,70.1
WR-II,75,Female,183.5,210.1,175.8,49.1,75.1,42.8
WR-II,76,Female,234,239.1,194.8,53.4,80.6,45.1
WR-II,77,Female,382.3,260.5,210.8,55.1,90.6,57.5
WR-II,78,Male,388.2,285.3,216.4,54.1,90.6,95.1
WR-II,79,Male,269.3,245.3,195.2,53.1,85.3,44.1
WR-II,80,Female,262.9,227.6,186.1,45.4,80.3,50.1
WR-II,81,Female,523.9,304.9,245,63.5,100.8,61.2
WR-II,82,Female,429.4,285.3,234.1,54.4,95.5,50.8
WR-II,83,Female,255.4,238.8,190.5,48.1,85.1,49.1
WR-II,84,Female,395.6,295.1,236.5,60.3,89.1,48.1
WR-II,85,Female,167.4,205.3,171.5,45.8,70.1,38.8
WR-II,86,Female,523.6,296.8,246.7,63.5,110.8,60.8
WR-II,87,Female,173.6,210.5,164.8,41.8,70.5,40.5
WR-II,88,Female,149.5,213.6,176.8,49.8,66.7,33.8
WR-II,89,Female,335.1,260.1,214.8,54.3,89.1,55.3
WR-II,90,Male,449.2,290.3,233.4,55.1,100.2,50.4
WR-II,91,Female,276.2,240.2,205.4,53.2,80.6,48.3
WR-II,92,Female,258.4,225.1,193.4,46.8,81.1,44.5
WR-II,93,Male,160.9,216.8,176.4,44.2,73.2,38.2
WR-II,94,Male,190.2,206.8,180.7,48.5,80.7,40.5
WR-II,95,Male,260.5,234.1,186.4,44.5,80.6,42.1
WR-II,96,Male,218.5,221.8,188.8,44.3,75.6,40.5
WR-II,97,Female,232.2,230.1,182.6,50.7,75.8,41.5
WR-II,98,Female,232,226.1,186.3,50.8,80.7,43.5
WR-II,99,Male,254.4,236.5,184.4,45.4,80.1,49.1
WR-II,100,Female,204.9,228.1,189.1,48.2,45.7,40.4
